,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
222,26.09.2017,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,
223,27.09.2017,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,
224,28.09.2017,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,
225,29.09.2017,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,
226,30.09.2017,,,,,,,,,,,,,,,,,,,,,,,
227,02.10.2017,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0
228,03.10.2017,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,
229,04.10.2017,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0
230,05.10.2017,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,
231,06.10.2017,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
232,07.10.2017,,,,,,,,,,,,,,,,,,,,,,,
233,09.10.2017,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,
234,10.10.2017,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,
235,11.10.2017,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
236,12.10.2017,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,
237,13.10.2017,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,1.0
238,14.10.2017,,,,,,,,,,,,,,,,,,,,,,,
